# Status_Effects_Data.txt
#
# File contains information on "display" status effects which are shown to the user
# as well as "internal" status effects, which are used to represent components of display status effects
# and are used to actually modify the properties of the monsters/players they affect.
#
# If a non-zero magnitude is supplied to the Combat.addStatus method, it overrides any zero 
# value declared here. If the magnitude declared here is 0, it probably indicates the magnitude is intended 
# to be supplied to (and overridden by) the calling method.  If the magnitude is negative, it indicates that 
# the absolute value of the number provided should be multiplied by the provided magnitude from the upper layer.
#
# The IMMUNE tag is applied when the status is an internal debuff.  The IMMUNE tag is not implemented as of this writing.
# There are three settings for this tag:
#   None (implied when no tag is present) -- all monsters can be affected
#   Boss -- only extremely powerful monsters ignore this effect completely
#   Strong -- somewhat powerful monsters (and bosses) ignore this effect completely
#
# The CATEGORY tag will assign category to the ability to indicate things such as
# whether an ability is considered a buff or debuff or a spellsword enchantment etc.
#
# The RECURRING tag uses either True or False to determine if this Internal property needs to be reapplied 
# during the upkeep phase of each turn.
#
# Any other confusing tags are likely an artifact of an older implementation strategy for status effect parsing and 
# interpretation that is no longer in use.  Tags that are currently in use or that will eventually be used are:
#
# NAME, TYPE, RECURRING, IMMUNE, IMAGE, ELEMENT, INTERNAL, MAGNITUDE, CATEGORY
# Of those, only IMMUNE has not yet been in use.


# Internal Effects -- Must be listed before Display Effects
	
#[NAME: AI_attack_nearby]
#  [TYPE: Internal]
#  [RECURRING: False]
#  [IMMUNE: Strong]

#[NAME: AI_flee]
#  [TYPE: Internal]
#  [RECURRING: False]
#  [IMMUNE: Boss]
  
[NAME: Applied_poison_rating_bonus]
  [TYPE: Internal]
  [RECURRING: False]
  
[NAME: Attack_power_bonus]
  [TYPE: Internal]
  [RECURRING: False]
  
[NAME: Attack_power_penalty]
  [TYPE: Internal]
  [RECURRING: False]
  [IMMUNE: None]
  
[NAME: Arcane_archer_mana_regen_penalty]
  [TYPE: Internal]
  [RECURRING: False]
  
[NAME: Armor_penetration_bonus]
  [TYPE: Internal]
  [RECURRING: False]
  
[NAME: Avoidance]
  [TYPE: Internal]
  [RECURRING: False]
  
[NAME: Awareness_penalty]
  [TYPE: Internal]
  [RECURRING: False]
  
[NAME: Bleeding]
  [TYPE: Internal]
  [RECURRING: True]
  
[NAME: Combo_attack_internal]
  [TYPE: Internal]
  [RECURRING: False]
  
[NAME: Crane_style]
  [TYPE: Internal]
  [RECURRING: False]
  
[NAME: Critical_chance_bonus]
  [TYPE: Internal]
  [RECURRING: False]
  
[NAME: Critical_magnitude_bonus]
  [TYPE: Internal]
  [RECURRING: False]
  
[NAME: Damage_over_time]
  [TYPE: Internal]
  [RECURRING: True]
  [IMMUNE: None]
  
[NAME: Dodge_bonus]
  [TYPE: Internal]
  [RECURRING: False]

[NAME: Dodge_penalty]
  [TYPE: Internal]
  [RECURRING: False]
  [IMMUNE: None]  

[NAME: Double_dodge_internal]
  [TYPE: Internal]
  [RECURRING: False]
  
[NAME: Dragon_style]
  [TYPE: Internal]
  [RECURRING: False]
  
[NAME: DR_bonus]
  [TYPE: Internal]
  [RECURRING: False]
  
[NAME: DR_penalty]
  [TYPE: Internal]
  [RECURRING: False]
  [IMMUNE: None]
  
[NAME: Elemental_offense_arcane]
  [TYPE: Internal]
  [RECURRING: False]
  
[NAME: Elemental_offense_divine]
  [TYPE: Internal]
  [RECURRING: False]
  
[NAME: Elemental_resistance_arcane]
  [TYPE: Internal]
  [RECURRING: False]
  
[NAME: Elemental_resistance_cold]
  [TYPE: Internal]
  [RECURRING: False]
 
[NAME: Elemental_resistance_divine]
  [TYPE: Internal]
  [RECURRING: False]
 
[NAME: Elemental_resistance_electric]
  [TYPE: Internal]
  [RECURRING: False]
  
[NAME: Elemental_resistance_fire]
  [TYPE: Internal]
  [RECURRING: False]
  
[NAME: Elemental_resistance_poison]
  [TYPE: Internal]
  [RECURRING: False]
  
[NAME: Elemental_resistance_shadow]
  [TYPE: Internal]
  [RECURRING: False]
  
[NAME: Elemental_vulnerability]
  [TYPE: Internal]
  [RECURRING: False]
  [IMMUNE: None]
 
[NAME: Hidden]
  [TYPE: Internal]
  [RECURRING: False]
 
[NAME: HP_buffer]
  [TYPE: Internal]
  [RECURRING: False]

[NAME: Knockback_resistance_bonus]
  [TYPE: Internal]
  [RECURRING: False]
  
[NAME: Increased_movement_AP_cost]
  [TYPE: Internal]
  [RECURRING: False]
  
[NAME: Intuition_bonus]
  [TYPE: Internal]
  [RECURRING: False]
  
[NAME: Magic_resist_bonus]
  [TYPE: Internal]
  [RECURRING: False]

[NAME: Magic_resist_penalty]
  [TYPE: Internal]
  [RECURRING: False]
  
[NAME: Melee_accuracy_bonus]
  [TYPE: Internal]
  [RECURRING: False]
  
[NAME: Melee_accuracy_penalty]
  [TYPE: Internal]
  [RECURRING: False]
  [IMMUNE: None]
  
[NAME: Melee_dodge_bonus]
  [TYPE: Internal]
  [RECURRING: False]
  
[NAME: Melee_force_bonus]
  [TYPE: Internal]
  [RECURRING: False]
  
[NAME: Might_bonus]
  [TYPE: Internal]
  [RECURRING: False]
  
[NAME: Might_penalty]
  [TYPE: Internal]
  [RECURRING: False]
  
[NAME: Movement_speed_penalty]
  [TYPE: Internal]
  [RECURRING: False]
  [IMMUNE: Boss]
  
[NAME: Movement_tiles_penalty]
  [TYPE: Internal]
  [RECURRING: False]

[NAME: No_turn]
  [TYPE: Internal]
  [RECURRING: False]
  [IMMUNE: Boss]
  
[NAME: Numbing_poison_internal]
  [TYPE: Internal]
  [RECURRING: False]
  
[NAME: On_hit_cripple_weapon]
  [TYPE: Internal]
  [RECURRING: False]
  
[NAME: On_hit_frost_weapon]
  [TYPE: Internal]
  [RECURRING: False]
  
[NAME: On_hit_mage_hunting]
  [TYPE: Internal]
  [RECURRING: False]
  
[NAME: On_hit_stun]
  [TYPE: Internal]
  [RECURRING: False]
  
[NAME: On_hit_suppressing_weapon]
  [TYPE: Internal]
  [RECURRING: False]
  
[NAME: Overall_damage_bonus]
  [TYPE: Internal]
  [RECURRING: False]
  
[NAME: Overall_damage_penalty]
  [TYPE: Internal]
  [RECURRING: False]
  
[NAME: Panther_style]
  [TYPE: Internal]
  [RECURRING: False]
  
[NAME: Poison_tolerance_bonus]
  [TYPE: Internal]
  [RECURRING: False]

[NAME: Poison_tolerance_penalty]
  [TYPE: Internal]
  [RECURRING: False]
  
[NAME: Potion_effect_bonus]
  [TYPE: Internal]
  [RECURRING: False]
  
[NAME: Prepare_melee_dodge_counterattack]
  [TYPE: Internal]
  [RECURRING: False]
  
[NAME: Ranged_accuracy_bonus]
  [TYPE: Internal]
  [RECURRING: False]
  
[NAME: Ranged_accuracy_penalty]
  [TYPE: Internal]
  [RECURRING: False]
  [IMMUNE: None]

[NAME: Ranged_critical_magnitude_bonus]
  [TYPE: Internal]
  [RECURRING: False]
  
[NAME: Ranged_dodge_bonus]
  [TYPE: Internal]
  [RECURRING: False]
  
[NAME: Ranged_dodge_penalty]
  [TYPE: Internal]
  [RECURRING: False]
  
[NAME: Ranged_force_bonus]
  [TYPE: Internal]
  [RECURRING: False]
  
[NAME: Recover_HP_percent]
  [TYPE: Internal]
  [RECURRING: False]
  
#[NAME: Redirect_melee_attacks]
#  [TYPE: Internal]
#  [RECURRING: False]
  
[NAME: Reduced_stealth_AP_cost]
  [TYPE: Internal]
  [RECURRING: False]
  
[NAME: Reduced_missile_range]
  [TYPE: Internal]
  [RECURRING: False]

[NAME: Refund_mana_on_resist]
  [TYPE: Internal]
  [RECURRING: False]
  
[NAME: Send_empathy_damage_to_summon]
  [TYPE: Internal]
  [RECURRING: False]
  
[NAME: Set_maximum_stealth_break_chance]
  [TYPE: Internal]
  [RECURRING: False]
  
[NAME: Set_movement_AP_cost]
  [TYPE: Internal]
  [RECURRING: False]
  
[NAME: Slashing_resist_penalty]
  [TYPE: Internal]
  [RECURRING: False]
  
[NAME: Snake_style]
  [TYPE: Internal]
  [RECURRING: False]
  
[NAME: Sneak_bonus]
  [TYPE: Internal]
  [RECURRING: False]
  
[NAME: Sneak_penalty]
  [TYPE: Internal]
  [RECURRING: False]
  
[NAME: Spellpower_bonus]
  [TYPE: Internal]
  [RECURRING: False]
  
[NAME: Spellpower_penalty]
  [TYPE: Internal]
  [RECURRING: False]
